"Coğrafi Kapsam (TR)";"Gözlem Sıklığı (A)";"İstatistiksel Gösterge (NG_ADNKS)";"Hanehalkı tipi (1)";"Hanehalkı büyüklüğü (_T)";"ADNKS Gösterge (HH_SAY)";"Zaman (2014)";"Gözlem";"Gözlem Durumu";"Zaman Formatı";"Ondalık Basamak Sayısı";"Ölçü Birimi";"Birim Çarpanı"
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Toplam";"Hanehalkı sayısı";"2021";"16323612";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Toplam";"Hanehalkı sayısı";"2022";"16816288";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Toplam";"Hanehalkı sayısı";"2023";"16779240";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Toplam";"Hanehalkı sayısı";"2024";"16891489";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Toplam";"Hanehalkı sayısı";"2025";"16928026";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"2";"Hanehalkı sayısı";"2014";"3892244";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"2";"Hanehalkı sayısı";"2015";"4075386";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"2";"Hanehalkı sayısı";"2016";"4200297";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"2";"Hanehalkı sayısı";"2017";"4333668";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"2";"Hanehalkı sayısı";"2018";"4467438";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"2";"Hanehalkı sayısı";"2019";"4622565";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"2";"Hanehalkı sayısı";"2020";"4705351";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"2";"Hanehalkı sayısı";"2021";"4914049";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"2";"Hanehalkı sayısı";"2022";"5179135";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"2";"Hanehalkı sayısı";"2023";"5311544";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"2";"Hanehalkı sayısı";"2024";"5437913";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"2";"Hanehalkı sayısı";"2025";"5583389";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"3";"Hanehalkı sayısı";"2014";"3772436";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"3";"Hanehalkı sayısı";"2015";"3858950";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"3";"Hanehalkı sayısı";"2016";"3935855";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"3";"Hanehalkı sayısı";"2017";"4026667";"";"";"";"";""
