"Coğrafi Kapsam (TR)";"Gözlem Sıklığı (A)";"İstatistiksel Gösterge (NG_ADNKS)";"Hanehalkı tipi (1)";"Hanehalkı büyüklüğü (_T)";"ADNKS Gösterge (HH_SAY)";"Zaman (2014)";"Gözlem";"Gözlem Durumu";"Zaman Formatı";"Ondalık Basamak Sayısı";"Ölçü Birimi";"Birim Çarpanı"
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2021";"3429705";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2022";"3610454";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2023";"3673768";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2024";"3717906";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2025";"3767993";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2014";"9637992";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2015";"9711356";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2016";"9772869";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2017";"9853456";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2018";"9833064";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2019";"10074239";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2020";"10341665";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2021";"10344507";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2022";"10522376";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2023";"10310726";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2024";"10261499";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2025";"10109727";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2014";"3317494";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2015";"3382331";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2016";"3420592";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2017";"3480773";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2018";"3490315";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2019";"3572025";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2020";"3580530";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2021";"3670767";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2022";"3777117";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2023";"3796063";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2024";"3828635";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2025";"3852110";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2014";"3774438";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2015";"3785281";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2016";"3792030";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2017";"3807515";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2018";"3790849";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2019";"3874963";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2020";"3992711";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2021";"3973850";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2022";"4008936";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2023";"3884721";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2024";"3851010";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2025";"3768233";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"5";"Hanehalkı sayısı";"2014";"1611664";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"5";"Hanehalkı sayısı";"2015";"1625758";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"5";"Hanehalkı sayısı";"2016";"1647617";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"5";"Hanehalkı sayısı";"2017";"1663823";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"5";"Hanehalkı sayısı";"2018";"1662697";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"5";"Hanehalkı sayısı";"2019";"1716845";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"5";"Hanehalkı sayısı";"2020";"1807740";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"5";"Hanehalkı sayısı";"2021";"1771080";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"5";"Hanehalkı sayısı";"2022";"1796333";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"5";"Hanehalkı sayısı";"2023";"1726673";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"5";"Hanehalkı sayısı";"2024";"1701147";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"5";"Hanehalkı sayısı";"2025";"1647466";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"6";"Hanehalkı sayısı";"2014";"533641";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"6";"Hanehalkı sayısı";"2015";"533231";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"6";"Hanehalkı sayısı";"2016";"539308";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"6";"Hanehalkı sayısı";"2017";"542355";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"6";"Hanehalkı sayısı";"2018";"542847";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"6";"Hanehalkı sayısı";"2019";"564021";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"6";"Hanehalkı sayısı";"2020";"599328";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"6";"Hanehalkı sayısı";"2021";"587234";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"6";"Hanehalkı sayısı";"2022";"599984";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"6";"Hanehalkı sayısı";"2023";"580334";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"6";"Hanehalkı sayısı";"2024";"572498";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"6";"Hanehalkı sayısı";"2025";"552247";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"7+";"Hanehalkı sayısı";"2014";"400755";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"7+";"Hanehalkı sayısı";"2015";"384755";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"7+";"Hanehalkı sayısı";"2016";"373322";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"7+";"Hanehalkı sayısı";"2017";"358990";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"7+";"Hanehalkı sayısı";"2018";"346356";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"7+";"Hanehalkı sayısı";"2019";"346385";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"7+";"Hanehalkı sayısı";"2020";"361356";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"7+";"Hanehalkı sayısı";"2021";"341576";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"7+";"Hanehalkı sayısı";"2022";"340006";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"7+";"Hanehalkı sayısı";"2023";"322935";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"7+";"Hanehalkı sayısı";"2024";"308209";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Eşler Ve Çocuklardan Oluşan Çekirdek Aile";"7+";"Hanehalkı sayısı";"2025";"289671";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2014";"1604367";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2015";"1690201";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2016";"1816882";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2017";"1927348";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2018";"2078187";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2019";"2209271";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2020";"2381124";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2021";"2549400";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2022";"2683458";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2023";"2794746";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2024";"2912084";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2025";"3050306";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2014";"922114";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2015";"979404";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2016";"1051654";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2017";"1120909";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2018";"1204692";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2019";"1282773";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2020";"1377696";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2021";"1484344";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2022";"1568681";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2023";"1637776";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2024";"1720007";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2025";"1815396";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2014";"454942";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2015";"476619";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2016";"515263";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2017";"545894";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2018";"593494";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2019";"629934";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2020";"681140";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2021";"726726";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2022";"761430";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2023";"793149";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2024";"818385";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"3";"Hanehalkı sayısı";"2025";"851420";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2014";"150136";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2015";"156222";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2016";"168808";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2017";"177395";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2018";"192591";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2019";"204955";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2020";"223589";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2021";"236111";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2022";"247561";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2023";"257063";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2024";"264158";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"4";"Hanehalkı sayısı";"2025";"271966";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"5";"Hanehalkı sayısı";"2014";"47049";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"5";"Hanehalkı sayısı";"2015";"47790";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Ebeveyn Ve Çocuklardan Oluşan Çekirdek Aile";"5";"Hanehalkı sayısı";"2016";"50786";"";"";"";"";""
