"Coğrafi Kapsam (TR)";"Gözlem Sıklığı (A)";"İstatistiksel Gösterge (NG_ADNKS)";"İkamet edilen yer (TR)";"ADNKS Gösterge (ORT_HH_BUYUKLUK)";"Zaman (2008)";"Gözlem";"Gözlem Durumu";"Zaman Formatı";"Ondalık Basamak Sayısı";"Ölçü Birimi";"Birim Çarpanı"
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Ortalama hanehalkı büyüklüğü";"2019";"3,33195898086478";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Ortalama hanehalkı büyüklüğü";"2020";"3,26783981181872";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Ortalama hanehalkı büyüklüğü";"2021";"3,21716116175396";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Ortalama hanehalkı büyüklüğü";"2022";"3,17530671122433";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Ortalama hanehalkı büyüklüğü";"2023";"3,15212405355107";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Ortalama hanehalkı büyüklüğü";"2024";"3,13000855280135";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Ortalama hanehalkı büyüklüğü";"2025";"3,09122712194721";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Ortalama hanehalkı büyüklüğü";"2008";"3,2";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Ortalama hanehalkı büyüklüğü";"2009";"3,17576619486006";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Ortalama hanehalkı büyüklüğü";"2010";"3,10404301898729";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Ortalama hanehalkı büyüklüğü";"2011";"3,06458677652308";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Ortalama hanehalkı büyüklüğü";"2012";"3,02498873656433";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Ortalama hanehalkı büyüklüğü";"2013";"2,96889008144454";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Ortalama hanehalkı büyüklüğü";"2014";"2,92799819762428";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Ortalama hanehalkı büyüklüğü";"2015";"2,88337972318603";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Ortalama hanehalkı büyüklüğü";"2016";"2,85405677531822";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Ortalama hanehalkı büyüklüğü";"2017";"2,82073123759296";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Ortalama hanehalkı büyüklüğü";"2018";"2,80753394656154";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Ortalama hanehalkı büyüklüğü";"2019";"2,76637270492988";"";"";"";"";""
