"Coğrafi Kapsam (TR)";"Gözlem Sıklığı (A)";"İstatistiksel Gösterge (NG_ADNKS)";"İkamet edilen yer (TR)";"ADNKS Gösterge (ORT_HH_BUYUKLUK)";"Zaman (2008)";"Gözlem";"Gözlem Durumu";"Zaman Formatı";"Ondalık Basamak Sayısı";"Ölçü Birimi";"Birim Çarpanı"
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Bolu";"Ortalama hanehalkı büyüklüğü";"2009";"3,52507530018774";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Bolu";"Ortalama hanehalkı büyüklüğü";"2010";"3,39980617363176";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Bolu";"Ortalama hanehalkı büyüklüğü";"2011";"3,34196851597127";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Bolu";"Ortalama hanehalkı büyüklüğü";"2012";"3,29420898340455";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Bolu";"Ortalama hanehalkı büyüklüğü";"2013";"3,24708849760442";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Bolu";"Ortalama hanehalkı büyüklüğü";"2014";"3,19840662767572";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Bolu";"Ortalama hanehalkı büyüklüğü";"2015";"3,14093821979977";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Bolu";"Ortalama hanehalkı büyüklüğü";"2016";"3,10825451606562";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Bolu";"Ortalama hanehalkı büyüklüğü";"2017";"3,06155594386853";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Bolu";"Ortalama hanehalkı büyüklüğü";"2018";"3,04228058267634";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Bolu";"Ortalama hanehalkı büyüklüğü";"2019";"2,99916917434167";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Bolu";"Ortalama hanehalkı büyüklüğü";"2020";"2,95088577146406";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Bolu";"Ortalama hanehalkı büyüklüğü";"2021";"2,87850476245233";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Bolu";"Ortalama hanehalkı büyüklüğü";"2022";"2,83241644761547";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Bolu";"Ortalama hanehalkı büyüklüğü";"2023";"2,82886492516501";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Bolu";"Ortalama hanehalkı büyüklüğü";"2024";"2,80143768051749";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Bolu";"Ortalama hanehalkı büyüklüğü";"2025";"2,77429718144504";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Düzce";"Ortalama hanehalkı büyüklüğü";"2008";"3,9";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Düzce";"Ortalama hanehalkı büyüklüğü";"2009";"3,9574241426776";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Düzce";"Ortalama hanehalkı büyüklüğü";"2010";"3,82456160590678";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Düzce";"Ortalama hanehalkı büyüklüğü";"2011";"3,73930405019966";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Düzce";"Ortalama hanehalkı büyüklüğü";"2012";"3,68758626733563";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Düzce";"Ortalama hanehalkı büyüklüğü";"2013";"3,62798642076474";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Düzce";"Ortalama hanehalkı büyüklüğü";"2014";"3,5602586957423";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Düzce";"Ortalama hanehalkı büyüklüğü";"2015";"3,51014874026105";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Düzce";"Ortalama hanehalkı büyüklüğü";"2016";"3,46816512500246";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Düzce";"Ortalama hanehalkı büyüklüğü";"2017";"3,42259925866483";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Düzce";"Ortalama hanehalkı büyüklüğü";"2018";"3,3978831866922";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Düzce";"Ortalama hanehalkı büyüklüğü";"2019";"3,33851965104776";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Düzce";"Ortalama hanehalkı büyüklüğü";"2020";"3,2740703491447";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Düzce";"Ortalama hanehalkı büyüklüğü";"2021";"3,18401837928154";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Düzce";"Ortalama hanehalkı büyüklüğü";"2022";"3,10604078553486";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Düzce";"Ortalama hanehalkı büyüklüğü";"2023";"3,09818398894056";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Düzce";"Ortalama hanehalkı büyüklüğü";"2024";"3,06380575945793";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Düzce";"Ortalama hanehalkı büyüklüğü";"2025";"3,02402325123749";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kocaeli";"Ortalama hanehalkı büyüklüğü";"2008";"3,9";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kocaeli";"Ortalama hanehalkı büyüklüğü";"2009";"3,93724397621999";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kocaeli";"Ortalama hanehalkı büyüklüğü";"2010";"3,80253691641288";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kocaeli";"Ortalama hanehalkı büyüklüğü";"2011";"3,72450843015137";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kocaeli";"Ortalama hanehalkı büyüklüğü";"2012";"3,66014632285697";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kocaeli";"Ortalama hanehalkı büyüklüğü";"2013";"3,60587088459802";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kocaeli";"Ortalama hanehalkı büyüklüğü";"2014";"3,56417737277585";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kocaeli";"Ortalama hanehalkı büyüklüğü";"2015";"3,52961514631347";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kocaeli";"Ortalama hanehalkı büyüklüğü";"2016";"3,50010792693935";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kocaeli";"Ortalama hanehalkı büyüklüğü";"2017";"3,48074990549246";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kocaeli";"Ortalama hanehalkı büyüklüğü";"2018";"3,44682613071298";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kocaeli";"Ortalama hanehalkı büyüklüğü";"2019";"3,40842008759584";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kocaeli";"Ortalama hanehalkı büyüklüğü";"2020";"3,36454520387413";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kocaeli";"Ortalama hanehalkı büyüklüğü";"2021";"3,28982195515772";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kocaeli";"Ortalama hanehalkı büyüklüğü";"2022";"3,23991242288695";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kocaeli";"Ortalama hanehalkı büyüklüğü";"2023";"3,21554463349351";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kocaeli";"Ortalama hanehalkı büyüklüğü";"2024";"3,19529139743785";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kocaeli";"Ortalama hanehalkı büyüklüğü";"2025";"3,16363868161536";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sakarya";"Ortalama hanehalkı büyüklüğü";"2008";"4";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sakarya";"Ortalama hanehalkı büyüklüğü";"2009";"4,05054838879402";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sakarya";"Ortalama hanehalkı büyüklüğü";"2010";"3,94710774434174";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sakarya";"Ortalama hanehalkı büyüklüğü";"2011";"3,8722145375039";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sakarya";"Ortalama hanehalkı büyüklüğü";"2012";"3,80182632174294";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sakarya";"Ortalama hanehalkı büyüklüğü";"2013";"3,73070071258907";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sakarya";"Ortalama hanehalkı büyüklüğü";"2014";"3,68080626972473";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sakarya";"Ortalama hanehalkı büyüklüğü";"2015";"3,63634644478064";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sakarya";"Ortalama hanehalkı büyüklüğü";"2016";"3,61346988502246";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sakarya";"Ortalama hanehalkı büyüklüğü";"2017";"3,54806797536225";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sakarya";"Ortalama hanehalkı büyüklüğü";"2018";"3,49574214880745";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sakarya";"Ortalama hanehalkı büyüklüğü";"2019";"3,43398227772248";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sakarya";"Ortalama hanehalkı büyüklüğü";"2020";"3,3730337004091";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sakarya";"Ortalama hanehalkı büyüklüğü";"2021";"3,28405810075871";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sakarya";"Ortalama hanehalkı büyüklüğü";"2022";"3,2168162304987";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sakarya";"Ortalama hanehalkı büyüklüğü";"2023";"3,19589296039318";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sakarya";"Ortalama hanehalkı büyüklüğü";"2024";"3,17564594707732";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sakarya";"Ortalama hanehalkı büyüklüğü";"2025";"3,14088052140338";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Yalova";"Ortalama hanehalkı büyüklüğü";"2008";"3,5";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Yalova";"Ortalama hanehalkı büyüklüğü";"2009";"3,46835376532399";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Yalova";"Ortalama hanehalkı büyüklüğü";"2010";"3,35988987645089";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Yalova";"Ortalama hanehalkı büyüklüğü";"2011";"3,26648347181347";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Yalova";"Ortalama hanehalkı büyüklüğü";"2012";"3,21298660609384";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Yalova";"Ortalama hanehalkı büyüklüğü";"2013";"3,17069163791687";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Yalova";"Ortalama hanehalkı büyüklüğü";"2014";"3,13208602150538";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Yalova";"Ortalama hanehalkı büyüklüğü";"2015";"3,12184284702648";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Yalova";"Ortalama hanehalkı büyüklüğü";"2016";"3,11790951347176";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Yalova";"Ortalama hanehalkı büyüklüğü";"2017";"3,09859820846697";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Yalova";"Ortalama hanehalkı büyüklüğü";"2018";"3,09068268385585";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Yalova";"Ortalama hanehalkı büyüklüğü";"2019";"3,02540170268803";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Yalova";"Ortalama hanehalkı büyüklüğü";"2020";"2,99297737153049";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Yalova";"Ortalama hanehalkı büyüklüğü";"2021";"2,95904716832308";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Yalova";"Ortalama hanehalkı büyüklüğü";"2022";"2,91362664222426";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Yalova";"Ortalama hanehalkı büyüklüğü";"2023";"2,92738465216352";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Yalova";"Ortalama hanehalkı büyüklüğü";"2024";"2,90287759203883";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Yalova";"Ortalama hanehalkı büyüklüğü";"2025";"2,86971303445891";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Ankara";"Ortalama hanehalkı büyüklüğü";"2008";"3,6";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Ankara";"Ortalama hanehalkı büyüklüğü";"2009";"3,53553962262974";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Ankara";"Ortalama hanehalkı büyüklüğü";"2010";"3,36846964214386";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Ankara";"Ortalama hanehalkı büyüklüğü";"2011";"3,3029591145881";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Ankara";"Ortalama hanehalkı büyüklüğü";"2012";"3,24931639965252";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Ankara";"Ortalama hanehalkı büyüklüğü";"2013";"3,21300989030464";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Ankara";"Ortalama hanehalkı büyüklüğü";"2014";"3,18586396355558";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Ankara";"Ortalama hanehalkı büyüklüğü";"2015";"3,15480207354488";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Ankara";"Ortalama hanehalkı büyüklüğü";"2016";"3,13538450886515";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Ankara";"Ortalama hanehalkı büyüklüğü";"2017";"3,11060739715999";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Ankara";"Ortalama hanehalkı büyüklüğü";"2018";"3,09527090173474";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Ankara";"Ortalama hanehalkı büyüklüğü";"2019";"3,05945855030267";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Ankara";"Ortalama hanehalkı büyüklüğü";"2020";"3,02275160378579";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Ankara";"Ortalama hanehalkı büyüklüğü";"2021";"2,96212407815407";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Ankara";"Ortalama hanehalkı büyüklüğü";"2022";"2,92272404422533";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Ankara";"Ortalama hanehalkı büyüklüğü";"2023";"2,91954218091997";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Ankara";"Ortalama hanehalkı büyüklüğü";"2024";"2,89308004412809";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Ankara";"Ortalama hanehalkı büyüklüğü";"2025";"2,86361774462363";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Karaman";"Ortalama hanehalkı büyüklüğü";"2008";"3,6";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Karaman";"Ortalama hanehalkı büyüklüğü";"2009";"3,5831730920783";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Karaman";"Ortalama hanehalkı büyüklüğü";"2010";"3,48836383839007";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Karaman";"Ortalama hanehalkı büyüklüğü";"2011";"3,42344147918205";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Karaman";"Ortalama hanehalkı büyüklüğü";"2012";"3,37014947461891";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Karaman";"Ortalama hanehalkı büyüklüğü";"2013";"3,32513127630951";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Karaman";"Ortalama hanehalkı büyüklüğü";"2014";"3,28763002171167";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Karaman";"Ortalama hanehalkı büyüklüğü";"2015";"3,24433614147462";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Karaman";"Ortalama hanehalkı büyüklüğü";"2016";"3,22696238729186";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Karaman";"Ortalama hanehalkı büyüklüğü";"2017";"3,20431866735174";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Karaman";"Ortalama hanehalkı büyüklüğü";"2018";"3,17462585844151";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Karaman";"Ortalama hanehalkı büyüklüğü";"2019";"3,12130050946992";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Karaman";"Ortalama hanehalkı büyüklüğü";"2020";"3,08260331726036";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Karaman";"Ortalama hanehalkı büyüklüğü";"2021";"3,01836373469689";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Karaman";"Ortalama hanehalkı büyüklüğü";"2022";"2,96318753226794";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Karaman";"Ortalama hanehalkı büyüklüğü";"2023";"2,95451059059532";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Karaman";"Ortalama hanehalkı büyüklüğü";"2024";"2,92338104176443";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Karaman";"Ortalama hanehalkı büyüklüğü";"2025";"2,88454014007061";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Konya";"Ortalama hanehalkı büyüklüğü";"2008";"4";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Konya";"Ortalama hanehalkı büyüklüğü";"2009";"3,95738531434234";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Konya";"Ortalama hanehalkı büyüklüğü";"2010";"3,80409821070618";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Konya";"Ortalama hanehalkı büyüklüğü";"2011";"3,74347358490566";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Konya";"Ortalama hanehalkı büyüklüğü";"2012";"3,67292129409641";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Konya";"Ortalama hanehalkı büyüklüğü";"2013";"3,62701740917847";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Konya";"Ortalama hanehalkı büyüklüğü";"2014";"3,57667849335447";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Konya";"Ortalama hanehalkı büyüklüğü";"2015";"3,53619918017642";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Konya";"Ortalama hanehalkı büyüklüğü";"2016";"3,51325075591561";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Konya";"Ortalama hanehalkı büyüklüğü";"2017";"3,48774987558919";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Konya";"Ortalama hanehalkı büyüklüğü";"2018";"3,46411361372243";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Konya";"Ortalama hanehalkı büyüklüğü";"2019";"3,42151541570896";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Konya";"Ortalama hanehalkı büyüklüğü";"2020";"3,3812253489781";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Konya";"Ortalama hanehalkı büyüklüğü";"2021";"3,31064438537666";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Konya";"Ortalama hanehalkı büyüklüğü";"2022";"3,25508019744968";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Konya";"Ortalama hanehalkı büyüklüğü";"2023";"3,24632377365248";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Konya";"Ortalama hanehalkı büyüklüğü";"2024";"3,21345965286866";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Konya";"Ortalama hanehalkı büyüklüğü";"2025";"3,17411083772175";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Antalya";"Ortalama hanehalkı büyüklüğü";"2008";"3,6";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Antalya";"Ortalama hanehalkı büyüklüğü";"2009";"3,56715625249837";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Antalya";"Ortalama hanehalkı büyüklüğü";"2010";"3,42557039837088";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Antalya";"Ortalama hanehalkı büyüklüğü";"2011";"3,35900914910269";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Antalya";"Ortalama hanehalkı büyüklüğü";"2012";"3,30432697972168";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Antalya";"Ortalama hanehalkı büyüklüğü";"2013";"3,25707836798115";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Antalya";"Ortalama hanehalkı büyüklüğü";"2014";"3,22828091106291";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Antalya";"Ortalama hanehalkı büyüklüğü";"2015";"3,19425331414396";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Antalya";"Ortalama hanehalkı büyüklüğü";"2016";"3,16595169569267";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Antalya";"Ortalama hanehalkı büyüklüğü";"2017";"3,13466398515612";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Antalya";"Ortalama hanehalkı büyüklüğü";"2018";"3,10716452397407";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Antalya";"Ortalama hanehalkı büyüklüğü";"2019";"3,06083106523348";"";"";"";"";""
